Vektorlänge	Iterationen	Daten in data.dat	Speicherplatz in KB	Dauer	GB/s	GFlops
2^0	2147483648	7,48E+03	0,01	3207,373	7,483	1,247
2^1	1073741824	1,48E+04	0,02	1625,77	14,762	2,46
2^2	536870912	2,95E+04	0,03	814,584	29,463	4,19
2^3	268435456	5,35E+04	0,06	448,79	53,477	8,913
2^4	134217728	1,02E+05	0,12	236,25	101,587	16,931
2^5	67108864	1,62E+05	0,25	148,102	162,051	27,008
2^6	33554432	2,71E+05	0,5	88,426	271,412	45,235
2^7	16777216	3,33E+05	1	72,049	333,108	55,518
2^8	8388608	3,41E+05	2	70,306	341,367	56,894
2^9	4194304	3,17E+05	4	75,796	316,638	52,773
2^10	2097152	3,09E+05	8	77,721	308,796	51,466
2^11	1048576	2,80E+05	16	85,866	279,506	46,584
2^12	524288	2,60E+05	32	92,34	259,908	43,318
2^13	262144	2,10E+05	64	114,096	210,349	35,058
2^14	131072	2,09E+05	128	115,059	208,588	34,765
2^15	65536	2,31E+05	256	103,824	231,161	38,527
2^16	32768	2,27E+05	512	105,89	226,651	37,775
2^17	16384	1,50E+05	1024	160,061	149,943	24,991
2^18	8192	6,39E+04	2048	375,649	63,889	10,648
2^19	4096	6,42E+04	4096	373,628	64,235	10,706
2^20	2048	6,43E+04	8192	373,035	64,337	10,723
2^21	1024	5,51E+04	16384	435,523	55,106	9,184
2^22	512	4,59E+04	32768	523,066	45,883	7,647
2^23	256	4,43E+04	65536	541,389	44,33	7,388
2^24	128	3,98E+04	131072	602,764	39,817	6,636
2^25	64	3,86E+04	262144	621,923	38,59	6,432
2^26	32	3,98E+04	524288	602,753	39,817	6,636
